x1,y1,z1,x2,y2,y3,y4,y5,y6,y7
0.501574,0.503407,0.502106,0.503967,1.004981,1.005513,1.006073,1.005541,1.00368,1.007374
0.501774,0.502479,0.502288,0.502935,1.004253,1.004767,1.005223,1.004709,1.004062,1.005414
0.501006,0.502971,0.501574,0.503593,1.003977,1.004545,1.005167,1.004599,1.00258,1.006564
0.501574,0.502935,0.502106,0.503414,1.004509,1.005041,1.00552,1.004988,1.00368,1.006349
0.496725,0.499655,0.497336,0.500204,0.99638,0.996991,0.99754,0.996929,0.994061,0.999859
0.540425,0.507008,0.541196,0.507669,1.047433,1.048204,1.048865,1.048094,1.081621,1.014677
0.541823,0.504286,0.542304,0.504863,1.046109,1.04659,1.047167,1.046686,1.084127,1.009149
0.540708,0.503707,0.541299,0.504335,1.044415,1.045006,1.045634,1.045043,1.082007,1.008042
0.539605,0.506147,0.540514,0.50688,1.045752,1.046661,1.047394,1.046485,1.080119,1.013027
0.538672,0.501678,0.539225,0.502298,1.04035,1.040903,1.041523,1.04097,1.077897,1.003976
0.541055,0.503707,0.541421,0.504335,1.044762,1.045128,1.045756,1.04539,1.082476,1.008042
0.542958,0.502736,0.543236,0.503154,1.045694,1.045972,1.04639,1.046112,1.086194,1.00589
0.535702,0.502003,0.5366,0.502648,1.037705,1.038603,1.039248,1.03835,1.072302,1.004651
0.541839,0.501917,0.542104,0.502081,1.043756,1.044021,1.044185,1.04392,1.083943,1.003998
0.541308,0.501299,0.541408,0.501402,1.042607,1.042707,1.04281,1.04271,1.082716,1.002701
0.54147,0.501704,0.541616,0.501844,1.043174,1.04332,1.04346,1.043314,1.083086,1.003548
0.54188,0.501351,0.541981,0.501456,1.043231,1.043332,1.043437,1.043336,1.083861,1.002807
0.540635,0.501549,0.54082,0.501763,1.042184,1.042369,1.042583,1.042398,1.081455,1.003312
0.543712,0.500864,0.54394,0.501138,1.044576,1.044804,1.045078,1.04485,1.087652,1.002002
0.541675,0.501433,0.541774,0.501584,1.043108,1.043207,1.043358,1.043259,1.083449,1.003017
0.541803,0.501282,0.541865,0.501336,1.043085,1.043147,1.043201,1.043139,1.083668,1.002618
0.541976,0.501167,0.542058,0.501231,1.043143,1.043225,1.043289,1.043207,1.084034,1.002398
0.540766,0.50157,0.541092,0.501763,1.042336,1.042662,1.042855,1.042529,1.081858,1.003333
0.541753,0.501247,0.541803,0.501282,1.043,1.04305,1.043085,1.043035,1.083556,1.002529
0.541916,0.501229,0.541989,0.501294,1.043145,1.043218,1.043283,1.04321,1.083905,1.002523
0.541886,0.50177,0.542055,0.501917,1.043656,1.043825,1.043972,1.043803,1.083941,1.003687
0.541006,0.502747,0.541305,0.503078,1.043753,1.044052,1.044383,1.044084,1.082311,1.005825
0.541884,0.501229,0.541944,0.501294,1.043113,1.043173,1.043238,1.043178,1.083828,1.002523
0.541813,0.50124,0.541848,0.501263,1.043053,1.043088,1.043111,1.043076,1.083661,1.002503
0.541727,0.501302,0.541783,0.501371,1.043029,1.043085,1.043154,1.043098,1.08351,1.002673
0.541886,0.501294,0.541958,0.501351,1.04318,1.043252,1.043309,1.043237,1.083844,1.002645
0.54127,0.501644,0.541425,0.501803,1.042914,1.043069,1.043228,1.043073,1.082695,1.003447
0.541654,0.501263,0.541736,0.50133,1.042917,1.042999,1.043066,1.042984,1.08339,1.002593
0.541774,0.501447,0.54188,0.50159,1.043221,1.043327,1.04347,1.043364,1.083654,1.003037
0.541875,0.501234,0.541884,0.501258,1.043109,1.043118,1.043142,1.043133,1.083759,1.002492
0.54127,0.501531,0.541425,0.501675,1.042801,1.042956,1.0431,1.042945,1.082695,1.003206
0.50134,0.499523,0.501481,0.499665,1.000863,1.001004,1.001146,1.001005,1.002821,0.999188
0.50162,0.499938,0.501645,0.499965,1.001558,1.001583,1.00161,1.001585,1.003265,0.999903
0.496729,0.494695,0.497016,0.495057,0.991424,0.991711,0.992073,0.991786,0.993745,0.989752
0.501602,0.499932,0.501645,0.49995,1.001534,1.001577,1.001595,1.001552,1.003247,0.999882
0.501647,0.499986,0.501683,0.499995,1.001633,1.001669,1.001678,1.001642,1.00333,0.999981
0.501909,0.499722,0.502079,0.4999,1.001631,1.001801,1.001979,1.001809,1.003988,0.999622
0.501817,0.499701,0.502047,0.499817,1.001518,1.001748,1.001864,1.001634,1.003864,0.999518
0.501645,0.4998,0.501722,0.499897,1.001445,1.001522,1.001619,1.001542,1.003367,0.999697
0.501143,0.499467,0.501375,0.499575,1.00061,1.000842,1.00095,1.000718,1.002518,0.999042
0.500697,0.501067,0.501042,0.501421,1.001764,1.002109,1.002463,1.002118,1.001739,1.002488
0.500001,0.49531,0.500247,0.49562,0.995311,0.995557,0.995867,0.995621,1.000248,0.99093
0.501143,0.499266,0.501397,0.499467,1.000409,1.000663,1.000864,1.00061,1.00254,0.998733
0.496719,0.493959,0.49712,0.494345,0.990678,0.991079,0.991465,0.991064,0.993839,0.988304
0.502359,0.498971,0.502647,0.499276,1.00133,1.001618,1.001923,1.001635,1.005006,0.998247
0.556694,0.48565,0.556753,0.485707,1.042344,1.042403,1.04246,1.042401,1.113447,0.971357
0.499552,0.495353,0.499636,0.495445,0.994905,0.994989,0.995081,0.994997,0.999188,0.990798
0.49816,0.494381,0.49849,0.494714,0.992541,0.992871,0.993204,0.992874,0.99665,0.989095
0.554036,0.489987,0.554097,0.490046,1.044023,1.044084,1.044143,1.044082,1.108133,0.980033
0.499308,0.494815,0.499474,0.494946,0.994123,0.994289,0.99442,0.994254,0.998782,0.989761
0.499585,0.495358,0.499681,0.495445,0.994943,0.995039,0.995126,0.99503,0.999266,0.990803
0.556412,0.485516,0.556531,0.485624,1.041928,1.042047,1.042155,1.042036,1.112943,0.97114
0.49919,0.495356,0.499354,0.495488,0.994546,0.99471,0.994842,0.994678,0.998544,0.990844
0.499696,0.495165,0.499746,0.495215,0.994861,0.994911,0.994961,0.994911,0.999442,0.99038
0.499463,0.495298,0.499552,0.495353,0.994761,0.99485,0.994905,0.994816,0.999015,0.990651
0.499891,0.495248,0.500007,0.495361,0.995139,0.995255,0.995368,0.995252,0.999898,0.990609
0.500039,0.495074,0.500264,0.49531,0.995113,0.995338,0.995574,0.995349,1.000303,0.990384
0.499387,0.495307,0.499463,0.495401,0.994694,0.99477,0.994864,0.994788,0.99885,0.990708
0.499746,0.49518,0.49983,0.495247,0.994926,0.99501,0.995077,0.994993,0.999576,0.990427
0.499552,0.495291,0.499636,0.495358,0.994843,0.994927,0.994994,0.99491,0.999188,0.990649
0.499662,0.495315,0.499705,0.495345,0.994977,0.99502,0.99505,0.995007,0.999367,0.99066
0.499339,0.494473,0.499617,0.494672,0.993812,0.99409,0.994289,0.994011,0.998956,0.989145
0.499696,0.495214,0.499746,0.495242,0.99491,0.99496,0.994988,0.994938,0.999442,0.990456
0.499902,0.4952,0.500039,0.495311,0.995102,0.995239,0.99535,0.995213,0.999941,0.990511
0.499377,0.494518,0.499617,0.494685,0.993895,0.994135,0.994302,0.994062,0.998994,0.989203
0.49949,0.49431,0.499749,0.494518,0.9938,0.994059,0.994267,0.994008,0.999239,0.988828
0.499721,0.495307,0.499782,0.495435,0.995028,0.995089,0.995217,0.995156,0.999503,0.990742
0.49965,0.495096,0.499704,0.495165,0.994746,0.9948,0.994869,0.994815,0.999354,0.990261
0.499437,0.494929,0.499556,0.495041,0.994366,0.994485,0.994597,0.994478,0.998993,0.98997
0.499523,0.495293,0.499573,0.495353,0.994816,0.994866,0.994926,0.994876,0.999096,0.990646
0.499636,0.495345,0.499682,0.4954,0.994981,0.995027,0.995082,0.995036,0.999318,0.990745
0.499413,0.496253,0.499753,0.496568,0.995666,0.996006,0.996321,0.995981,0.999166,0.992821
0.499677,0.495165,0.499703,0.495215,0.994842,0.994868,0.994918,0.994892,0.99938,0.99038
0.499474,0.494814,0.499628,0.494929,0.994288,0.994442,0.994557,0.994403,0.999102,0.989743
0.499636,0.495033,0.499704,0.495141,0.994669,0.994737,0.994845,0.994777,0.99934,0.990174
0.556557,0.485804,0.556603,0.48585,1.042361,1.042407,1.042453,1.042407,1.11316,0.971654
0.499705,0.495307,0.499782,0.495358,0.995012,0.995089,0.99514,0.995063,0.999487,0.990665
0.499698,0.495289,0.499709,0.495315,0.994987,0.994998,0.995024,0.995013,0.999407,0.990604
0.499403,0.495571,0.499578,0.49576,0.994974,0.995149,0.995338,0.995163,0.998981,0.991331
0.499677,0.495289,0.499705,0.495315,0.994966,0.994994,0.99502,0.994992,0.999382,0.990604
0.499585,0.4954,0.499684,0.495501,0.994985,0.995084,0.995185,0.995086,0.999269,0.990901
0.499614,0.495289,0.499662,0.495317,0.994903,0.994951,0.994979,0.994931,0.999276,0.990606
0.499293,0.495324,0.499445,0.495401,0.994617,0.994769,0.994846,0.994694,0.998738,0.990725
0.500167,0.494801,0.500491,0.495074,0.994968,0.995292,0.995565,0.995241,1.000658,0.989875
0.499653,0.495165,0.499703,0.495207,0.994818,0.994868,0.99491,0.99486,0.999356,0.990372
0.499927,0.495019,0.500058,0.495142,0.994946,0.995077,0.9952,0.995069,0.999985,0.990161
0.499477,0.495041,0.499575,0.49513,0.994518,0.994616,0.994705,0.994607,0.999052,0.990171
0.556281,0.485503,0.556412,0.485613,1.041784,1.041915,1.042025,1.041894,1.112693,0.971116
0.49948,0.495445,0.499585,0.495571,0.994925,0.99503,0.995156,0.995051,0.999065,0.991016
0.499703,0.495096,0.499764,0.495165,0.994799,0.99486,0.994929,0.994868,0.999467,0.990261
0.49959,0.495141,0.49965,0.495187,0.994731,0.994791,0.994837,0.994777,0.99924,0.990328
0.499575,0.495109,0.49965,0.495174,0.994684,0.994759,0.994824,0.994749,0.999225,0.990283
0.556586,0.485771,0.55663,0.485804,1.042357,1.042401,1.042434,1.04239,1.113216,0.971575
0.499625,0.495141,0.499653,0.495198,0.994766,0.994794,0.994851,0.994823,0.999278,0.990339
0.496729,0.495057,0.497027,0.495392,0.991786,0.992084,0.992419,0.992121,0.993756,0.990449
0.556521,0.485704,0.556573,0.485764,1.042225,1.042277,1.042337,1.042285,1.113094,0.971468
0.498464,0.494292,0.498714,0.49456,0.992756,0.993006,0.993274,0.993024,0.997178,0.988852
0.542444,0.499215,0.542669,0.499437,1.041659,1.041884,1.042106,1.041881,1.085113,0.998652
